IMP_10k_to_100k-CTR%_000_to_001-SPD_030_to_070,35996
IMP_1_to_1k-CTR%_001_to_030-SPD_000_to_001,290550
IMP_10k_to_100k-CTR%_100_to_100-SPD_100_to_100,1200607
IMP_1k_to_10k-CTR%_050_to_100-SPD_000_to_001,12376
IMP_100k_to_1m-CTR%_100_to_100-SPD_001_to_030,916737
IMP_0_to_1-CTR%_000_to_001-SPD_070_to_100,0
IMP_1k_to_10k-CTR%_050_to_100-SPD_030_to_070,92626
IMP_1_to_1k-CTR%_001_to_030-SPD_001_to_030,560969
IMP_1k_to_10k-CTR%_030_to_050-SPD_070_to_100,91124
IMP_1_to_1k-CTR%_100_to_100-SPD_100_to_100,55122
IMP_10k_to_100k-CTR%_001_to_030-SPD_070_to_100,4966338
IMP_100k_to_1m-CTR%_030_to_050-SPD_030_to_070,3217486
IMP_1_to_1k-CTR%_100_to_100-SPD_030_to_070,1520
IMP_1k_to_10k-CTR%_001_to_030-SPD_070_to_100,1190955
IMP_100k_to_1m-CTR%_001_to_030-SPD_000_to_001,1102959
IMP_1k_to_10k-CTR%_030_to_050-SPD_001_to_030,555283
IMP_10k_to_100k-CTR%_001_to_030-SPD_001_to_030,16700763
IMP_1m_to_INF-CTR%_030_to_050-SPD_030_to_070,5233595
IMP_1k_to_10k-CTR%_100_to_100-SPD_000_to_001,2418
