IMP_1k_to_10k-CTR%_050_to_100-SPD_000_to_001,4
IMP_100k_to_1m-CTR%_100_to_100-SPD_001_to_030,2
IMP_0_to_1-CTR%_000_to_001-SPD_070_to_100,698
IMP_1k_to_10k-CTR%_050_to_100-SPD_030_to_070,21
IMP_1_to_1k-CTR%_001_to_030-SPD_001_to_030,859
IMP_1k_to_10k-CTR%_030_to_050-SPD_070_to_100,21
IMP_1_to_1k-CTR%_100_to_100-SPD_100_to_100,280
IMP_10k_to_100k-CTR%_001_to_030-SPD_070_to_100,161
IMP_100k_to_1m-CTR%_030_to_050-SPD_030_to_070,12
IMP_1_to_1k-CTR%_100_to_100-SPD_030_to_070,15
IMP_1k_to_10k-CTR%_001_to_030-SPD_070_to_100,287
IMP_100k_to_1m-CTR%_001_to_030-SPD_000_to_001,6
IMP_1k_to_10k-CTR%_030_to_050-SPD_001_to_030,186
IMP_10k_to_100k-CTR%_001_to_030-SPD_001_to_030,604
IMP_1m_to_INF-CTR%_030_to_050-SPD_030_to_070,3
IMP_1k_to_10k-CTR%_100_to_100-SPD_000_to_001,2
